mission_id,title,description,required_seniority,required_location,required_languages,required_skills,sector,desired_start_in_days,duration_months,max_daily_rate,priority,created_at
35,DevOps Cloud FastAPI pour industrie,"Recherche DevOps Cloud pour un client industrie dans un contexte de transformation devops. Competences attendues: FastAPI, GCP, Kubernetes, Python, Terraform. Demarrage souhaite dans 30 jours, duree 12 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Montreal. Budget max: 902 EUR/jour.",Confirmed,Montreal,Francais,FastAPI | GCP | Kubernetes | Python | Terraform,Industrie,30,12,902,Low,2026-02-27T02:17:31+00:00
36,Expert ERP GCP pour sante,"Recherche Expert ERP pour un client sante dans un contexte de transformation erp. Competences attendues: GCP, SAP, SQL, Snowflake. Demarrage souhaite dans 0 jours, duree 10 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Lyon. Budget max: 1276 EUR/jour.",Senior,Lyon,Anglais,GCP | SAP | SQL | Snowflake,Sante,0,10,1276,High,2026-02-25T02:17:31+00:00
37,Consultant CRM C# pour energie,"Recherche Consultant CRM pour un client energie dans un contexte de transformation crm. Competences attendues: C#, DevOps, Java, Python, SQL, dbt. Demarrage souhaite dans 30 jours, duree 11 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Bruxelles. Budget max: 912 EUR/jour.",Confirmed,Bruxelles,Bilingue,C# | DevOps | Java | Python | SQL | dbt,Energie,30,11,912,Medium,2025-08-11T02:17:31+00:00
38,DevOps Cloud AWS pour public,"Recherche DevOps Cloud pour un client public dans un contexte de transformation devops. Competences attendues: AWS, Azure, Docker, GCP, Python, Spark. Demarrage souhaite dans 15 jours, duree 6 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Remote. Budget max: 819 EUR/jour.",Confirmed,Remote,Bilingue,AWS | Azure | Docker | GCP | Python | Spark,Public,15,6,819,Medium,2026-02-20T02:17:31+00:00
39,Data Analyst NLP pour public,"Recherche Data Analyst pour un client public dans un contexte de transformation data / ia. Competences attendues: NLP, Python, SQL, Snowflake, Spark, Tableau. Demarrage souhaite dans 15 jours, duree 6 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Bruxelles. Budget max: 1351 EUR/jour.",Senior,Bruxelles,Anglais,NLP | Python | SQL | Snowflake | Spark | Tableau,Public,15,6,1351,High,2026-03-11T02:17:31+00:00
40,Product Analyst C# pour telecom,"Recherche Product Analyst pour un client telecom dans un contexte de transformation digital. Competences attendues: C#, Python, React, Tableau, Terraform. Demarrage souhaite dans 15 jours, duree 6 mois. Niveau requis: Expert. Langue requise: Bilingue. Localisation: Montreal. Budget max: 1654 EUR/jour.",Expert,Montreal,Bilingue,C# | Python | React | Tableau | Terraform,Telecom,15,6,1654,High,2025-10-31T02:17:31+00:00
41,Cloud Engineer GCP pour sante,"Recherche Cloud Engineer pour un client sante dans un contexte de transformation cloud. Competences attendues: GCP, Kubernetes, Python, SOC, Terraform. Demarrage souhaite dans 0 jours, duree 4 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Paris. Budget max: 963 EUR/jour.",Confirmed,Paris,Bilingue,GCP | Kubernetes | Python | SOC | Terraform,Sante,0,4,963,Medium,2025-12-05T02:17:31+00:00
42,SRE Azure pour banque,"Recherche SRE pour un client banque dans un contexte de transformation devops. Competences attendues: Azure, Docker, Kubernetes, Terraform. Demarrage souhaite dans 60 jours, duree 7 mois. Niveau requis: Expert. Langue requise: Bilingue. Localisation: Montreal. Budget max: 1509 EUR/jour.",Expert,Montreal,Bilingue,Azure | Docker | Kubernetes | Terraform,Banque,60,7,1509,High,2025-11-22T02:17:31+00:00
43,Business Analyst ERP Power BI pour telecom,"Recherche Business Analyst ERP pour un client telecom dans un contexte de transformation erp. Competences attendues: Power BI, Python, SAP, SOC, Snowflake, Tableau. Demarrage souhaite dans 0 jours, duree 13 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Lille. Budget max: 1087 EUR/jour.",Senior,Lille,Bilingue,Power BI | Python | SAP | SOC | Snowflake | Tableau,Telecom,0,13,1087,Medium,2025-11-24T02:17:31+00:00
44,Architecte Cloud Docker pour retail,"Recherche Architecte Cloud pour un client retail dans un contexte de transformation cloud. Competences attendues: Docker, Kubernetes, NLP, Python, Terraform. Demarrage souhaite dans 30 jours, duree 15 mois. Niveau requis: Junior. Langue requise: Anglais. Localisation: Remote. Budget max: 649 EUR/jour.",Junior,Remote,Anglais,Docker | Kubernetes | NLP | Python | Terraform,Retail,30,15,649,Low,2026-01-19T02:17:31+00:00
45,Developer React AWS pour energie,"Recherche Developer React pour un client energie dans un contexte de transformation digital. Competences attendues: AWS, FastAPI, Java, Python, SQL, Tableau. Demarrage souhaite dans 0 jours, duree 10 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Lyon. Budget max: 840 EUR/jour.",Confirmed,Lyon,Francais,AWS | FastAPI | Java | Python | SQL | Tableau,Energie,0,10,840,High,2025-09-09T02:17:31+00:00
46,DevOps Cloud AWS pour energie,"Recherche DevOps Cloud pour un client energie dans un contexte de transformation devops. Competences attendues: AWS, Airflow, Docker, Java, Kubernetes. Demarrage souhaite dans 15 jours, duree 14 mois. Niveau requis: Confirmed. Langue requise: Anglais. Localisation: Paris. Budget max: 895 EUR/jour.",Confirmed,Paris,Anglais,AWS | Airflow | Docker | Java | Kubernetes,Energie,15,14,895,Medium,2025-09-24T02:17:31+00:00
47,Platform Engineer Azure pour sante,"Recherche Platform Engineer pour un client sante dans un contexte de transformation devops. Competences attendues: Azure, DevOps, GCP, Python, SIEM, SOC. Demarrage souhaite dans 15 jours, duree 11 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Lille. Budget max: 1023 EUR/jour.",Confirmed,Lille,Bilingue,Azure | DevOps | GCP | Python | SIEM | SOC,Sante,15,11,1023,Medium,2025-10-06T02:17:31+00:00
48,Consultant Salesforce Azure pour banque,"Recherche Consultant Salesforce pour un client banque dans un contexte de transformation crm. Competences attendues: Azure, C#, Java, MLOps, SQL. Demarrage souhaite dans 15 jours, duree 8 mois. Niveau requis: Junior. Langue requise: Bilingue. Localisation: Paris. Budget max: 643 EUR/jour.",Junior,Paris,Bilingue,Azure | C# | Java | MLOps | SQL,Banque,15,8,643,Medium,2026-03-25T02:17:31+00:00
49,Tech Lead CRM Azure pour retail,"Recherche Tech Lead CRM pour un client retail dans un contexte de transformation crm. Competences attendues: Azure, Java, Power BI, Python, React, SQL. Demarrage souhaite dans 15 jours, duree 15 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Bruxelles. Budget max: 1326 EUR/jour.",Senior,Bruxelles,Francais,Azure | Java | Power BI | Python | React | SQL,Retail,15,15,1326,High,2025-11-07T02:17:31+00:00
50,Consultant SAP FastAPI pour assurance,"Recherche Consultant SAP pour un client assurance dans un contexte de transformation erp. Competences attendues: FastAPI, Power BI, Python, SAP, SQL, Snowflake. Demarrage souhaite dans 15 jours, duree 4 mois. Niveau requis: Expert. Langue requise: Bilingue. Localisation: Remote. Budget max: 1392 EUR/jour.",Expert,Remote,Bilingue,FastAPI | Power BI | Python | SAP | SQL | Snowflake,Assurance,15,4,1392,Medium,2025-08-05T02:17:31+00:00
51,Architecte Cyber GCP pour retail,"Recherche Architecte Cyber pour un client retail dans un contexte de transformation cyber. Competences attendues: GCP, SAP, SQL, Terraform. Demarrage souhaite dans 60 jours, duree 3 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Toulouse. Budget max: 1190 EUR/jour.",Senior,Toulouse,Bilingue,GCP | SAP | SQL | Terraform,Retail,60,3,1190,Medium,2025-09-01T02:17:31+00:00
52,DevOps Kubernetes Azure pour public,"Recherche DevOps Kubernetes pour un client public dans un contexte de transformation devops. Competences attendues: Azure, DevOps, Docker, Kubernetes, Python, SIEM. Demarrage souhaite dans 30 jours, duree 8 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Toulouse. Budget max: 1008 EUR/jour.",Confirmed,Toulouse,Francais,Azure | DevOps | Docker | Kubernetes | Python | SIEM | Tableau,Public,30,8,1008,Medium,2025-08-06T02:17:31+00:00
53,Consultant Salesforce C# pour banque,"Recherche Consultant Salesforce pour un client banque dans un contexte de transformation crm. Competences attendues: C#, Java, Python, SQL, Tableau, dbt. Demarrage souhaite dans 15 jours, duree 16 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Lyon. Budget max: 920 EUR/jour.",Confirmed,Lyon,Bilingue,C# | Java | Python | SQL | Tableau | dbt,Banque,15,16,920,Medium,2026-01-09T02:17:31+00:00
54,Consultant Salesforce AWS pour telecom,"Recherche Consultant Salesforce pour un client telecom dans un contexte de transformation crm. Competences attendues: AWS, Python, SQL, Salesforce, Snowflake. Demarrage souhaite dans 30 jours, duree 10 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Paris. Budget max: 790 EUR/jour.",Confirmed,Paris,Francais,AWS | Python | SQL | Salesforce | Snowflake,Telecom,30,10,790,High,2025-11-15T02:17:31+00:00
55,Developer React Databricks pour industrie,"Recherche Developer React pour un client industrie dans un contexte de transformation digital. Competences attendues: Databricks, Docker, FastAPI, Java, Tableau. Demarrage souhaite dans 0 jours, duree 5 mois. Niveau requis: Expert. Langue requise: Francais. Localisation: Bruxelles. Budget max: 1661 EUR/jour.",Expert,Bruxelles,Francais,Databricks | Docker | FastAPI | Java | Tableau,Industrie,0,5,1661,Medium,2026-03-31T02:17:31+00:00
56,Data Analyst Airflow pour energie,"Recherche Data Analyst pour un client energie dans un contexte de transformation data / ia. Competences attendues: Airflow, Databricks, NLP, SQL, Snowflake, dbt. Demarrage souhaite dans 60 jours, duree 6 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Remote. Budget max: 1151 EUR/jour.",Senior,Remote,Bilingue,Airflow | Databricks | NLP | SQL | Snowflake | dbt,Energie,60,6,1151,Low,2026-03-31T02:17:31+00:00
57,Consultant Azure Azure pour public,"Recherche Consultant Azure pour un client public dans un contexte de transformation cloud. Competences attendues: Azure, Docker, FastAPI, Python. Demarrage souhaite dans 0 jours, duree 16 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Lille. Budget max: 875 EUR/jour.",Confirmed,Lille,Bilingue,Azure | Docker | FastAPI | Python,Public,0,16,875,Medium,2026-01-31T02:17:31+00:00
58,Cloud Engineer Azure pour assurance,"Recherche Cloud Engineer pour un client assurance dans un contexte de transformation cloud. Competences attendues: Azure, Docker, GCP, Python. Demarrage souhaite dans 0 jours, duree 4 mois. Niveau requis: Senior. Langue requise: Anglais. Localisation: Lyon. Budget max: 1288 EUR/jour.",Senior,Lyon,Anglais,Azure | Docker | GCP | Python,Assurance,0,4,1288,High,2025-11-15T02:17:31+00:00
59,Platform Engineer AWS pour retail,"Recherche Platform Engineer pour un client retail dans un contexte de transformation devops. Competences attendues: AWS, DevOps, GCP, SOC. Demarrage souhaite dans 30 jours, duree 17 mois. Niveau requis: Senior. Langue requise: Francais. Localisation: Nantes. Budget max: 1192 EUR/jour.",Senior,Nantes,Francais,AWS | DevOps | GCP | SOC,Retail,30,17,1192,Medium,2025-11-23T02:17:31+00:00
60,Product Analyst C# pour sante,"Recherche Product Analyst pour un client sante dans un contexte de transformation digital. Competences attendues: C#, Docker, Java, Python, React, SOC. Demarrage souhaite dans 0 jours, duree 16 mois. Niveau requis: Junior. Langue requise: Francais. Localisation: Remote. Budget max: 652 EUR/jour.",Junior,Remote,Francais,C# | Docker | Java | Python | React | SOC | Tableau,Sante,0,16,652,Low,2026-02-09T02:17:31+00:00
61,Data Analyst Databricks pour energie,"Recherche Data Analyst pour un client energie dans un contexte de transformation data / ia. Competences attendues: Databricks, FastAPI, Power BI, Snowflake, Spark, Tableau. Demarrage souhaite dans 0 jours, duree 17 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Nantes. Budget max: 1354 EUR/jour.",Senior,Nantes,Bilingue,Databricks | FastAPI | Power BI | Snowflake | Spark | Tableau | dbt,Energie,0,17,1354,High,2025-09-23T02:17:31+00:00
62,Consultant Azure AWS pour public,"Recherche Consultant Azure pour un client public dans un contexte de transformation cloud. Competences attendues: AWS, Airflow, Azure, Kubernetes, Spark. Demarrage souhaite dans 30 jours, duree 8 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Toulouse. Budget max: 1033 EUR/jour.",Confirmed,Toulouse,Bilingue,AWS | Airflow | Azure | Kubernetes | Spark,Public,30,8,1033,Medium,2026-02-16T02:17:31+00:00
63,DevOps Cloud Azure pour public,"Recherche DevOps Cloud pour un client public dans un contexte de transformation devops. Competences attendues: Azure, GCP, Python, Terraform. Demarrage souhaite dans 30 jours, duree 17 mois. Niveau requis: Expert. Langue requise: Bilingue. Localisation: Remote. Budget max: 1412 EUR/jour.",Expert,Remote,Bilingue,Azure | GCP | Python | Terraform,Public,30,17,1412,Medium,2026-01-18T02:17:31+00:00
64,Tech Lead CRM C# pour assurance,"Recherche Tech Lead CRM pour un client assurance dans un contexte de transformation crm. Competences attendues: C#, FastAPI, Java, Python. Demarrage souhaite dans 30 jours, duree 16 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Toulouse. Budget max: 918 EUR/jour.",Confirmed,Toulouse,Francais,C# | FastAPI | Java | Python,Assurance,30,16,918,Medium,2025-12-10T02:17:31+00:00
65,Platform Engineer Azure pour telecom,"Recherche Platform Engineer pour un client telecom dans un contexte de transformation devops. Competences attendues: Azure, Kubernetes, Python, SQL, Terraform. Demarrage souhaite dans 30 jours, duree 16 mois. Niveau requis: Senior. Langue requise: Bilingue. Localisation: Toulouse. Budget max: 1192 EUR/jour.",Senior,Toulouse,Bilingue,Azure | Kubernetes | Python | SQL | Terraform,Telecom,30,16,1192,High,2025-11-30T02:17:31+00:00
66,Architecte Cloud AWS pour retail,"Recherche Architecte Cloud pour un client retail dans un contexte de transformation cloud. Competences attendues: AWS, GCP, Kubernetes, Python, Spark. Demarrage souhaite dans 15 jours, duree 5 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Remote. Budget max: 865 EUR/jour.",Confirmed,Remote,Francais,AWS | GCP | Kubernetes | Python | Spark,Retail,15,5,865,High,2025-10-22T02:17:31+00:00
67,Lead Data Scientist Databricks pour retail,"Recherche Lead Data Scientist pour un client retail dans un contexte de transformation data / ia. Competences attendues: Databricks, Power BI, SQL, Tableau. Demarrage souhaite dans 15 jours, duree 8 mois. Niveau requis: Confirmed. Langue requise: Francais. Localisation: Paris. Budget max: 872 EUR/jour.",Confirmed,Paris,Francais,Databricks | Power BI | SQL | Tableau,Retail,15,8,872,High,2026-03-30T02:17:31+00:00
68,Expert SIEM AWS pour retail,"Recherche Expert SIEM pour un client retail dans un contexte de transformation cyber. Competences attendues: AWS, Azure, IAM, Java, Kubernetes, SOC. Demarrage souhaite dans 30 jours, duree 12 mois. Niveau requis: Expert. Langue requise: Francais. Localisation: Paris. Budget max: 1558 EUR/jour.",Expert,Paris,Francais,AWS | Azure | IAM | Java | Kubernetes | SOC,Retail,30,12,1558,Medium,2026-01-17T02:17:31+00:00
69,Architecte Cloud AWS pour retail,"Recherche Architecte Cloud pour un client retail dans un contexte de transformation cloud. Competences attendues: AWS, Azure, Docker, Kubernetes, Python, Terraform. Demarrage souhaite dans 15 jours, duree 3 mois. Niveau requis: Confirmed. Langue requise: Bilingue. Localisation: Bruxelles. Budget max: 839 EUR/jour.",Confirmed,Bruxelles,Bilingue,AWS | Azure | Docker | Kubernetes | Python | Terraform,Retail,15,3,839,Medium,2025-08-04T02:17:31+00:00
70,Tech Lead CRM C# pour retail,"Recherche Tech Lead CRM pour un client retail dans un contexte de transformation crm. Competences attendues: C#, GCP, Java, Power BI. Demarrage souhaite dans 15 jours, duree 14 mois. Niveau requis: Expert. Langue requise: Francais. Localisation: Paris. Budget max: 1500 EUR/jour.",Expert,Paris,Francais,C# | GCP | Java | Power BI,Retail,15,14,1500,Medium,2026-03-25T02:17:31+00:00
